Date,Mean(WTE)
1990-01,413.56
1990-02,413.52
1990-03,413.48
1990-04,413.51
1990-05,413.56
1990-06,413.58
1990-07,413.56
1990-08,413.48
1990-09,413.42
1990-10,413.39
1990-11,413.38
1990-12,413.36
1991-01,413.32
1991-02,413.28
1991-03,413.26
1991-04,413.26
1991-05,413.33
1991-06,413.35
1991-07,413.34
1991-08,413.27
1991-09,413.23
1991-10,413.23
1991-11,413.22
1991-12,413.21
1992-01,413.18
1992-02,413.16
1992-03,413.14
1992-04,413.15
1992-05,413.21
1992-06,413.25
1992-07,413.31
1992-08,413.32
1992-09,413.34
1992-10,413.38
1992-11,413.37
1992-12,413.36
1993-01,413.3
1993-02,413.27
1993-03,413.23
1993-04,413.24
1993-05,413.34
1993-06,413.37
1993-07,413.39
1993-08,413.46
1993-09,413.45
1993-10,413.46
1993-11,413.46
1993-12,413.44
1994-01,413.42
1994-02,413.39
1994-03,413.37
1994-04,413.36
1994-05,413.48
1994-06,413.52
1994-07,413.61
1994-08,413.61
1994-09,413.59
1994-10,413.59
1994-11,413.62
1994-12,413.59
1995-01,413.55
1995-03,413.49
1995-04,413.52
1995-05,413.55
1995-06,413.59
1995-07,413.53
1995-08,413.53
1995-09,413.48
1995-10,413.54
1995-11,413.58
1995-12,413.58
1996-01,413.57
1996-02,413.56
1996-03,413.52
1996-04,413.5
1996-05,413.69
1996-06,413.71
1996-07,413.69
1996-08,413.69
1996-09,413.63
1996-10,413.61
1996-11,413.61
1996-12,413.63
1997-01,413.59
1997-02,413.56
1997-03,413.53
1997-04,413.56
1997-05,413.67
1997-06,413.7
1997-07,413.71
1997-08,413.71
1997-09,413.67
1997-10,413.66
1997-11,413.65
1997-12,413.64
1998-01,413.6
1998-02,413.58
1998-03,413.57
1998-04,413.58
1998-05,413.58
1998-06,413.59
1998-07,413.56
1998-08,413.52
1998-09,413.49
1998-10,413.47
1998-11,413.46
1998-12,413.46
1999-01,413.45
1999-02,413.45
1999-03,413.41
1999-04,413.48
1999-05,413.53
1999-06,413.58
1999-07,413.65
1999-08,413.69
1999-09,413.74
1999-10,413.73
1999-11,413.75
1999-12,413.72
2000-01,413.66
2000-02,413.6
2000-03,413.56
2000-04,413.56
2000-05,413.58
2000-06,413.57
2000-07,413.58
2000-08,413.53
2000-09,413.5
2000-10,413.48
2000-11,413.49
2000-12,413.5
2001-01,413.48
2001-02,413.44
2001-03,413.41
2001-04,413.4
2001-05,413.55
2001-06,413.64
2001-07,413.71
2001-08,413.67
2001-09,413.64
2001-10,413.61
2001-11,413.6
2001-12,413.6
2002-01,413.59
2002-02,413.55
2002-03,413.52
2002-04,413.49
2002-05,413.51
2002-06,413.52
2002-07,413.65
2002-08,413.64
2002-09,413.61
2002-10,413.57
2002-11,413.57
2002-12,413.53
2003-01,413.51
2003-02,413.46
2003-03,413.44
2003-04,413.41
2003-05,413.41
2003-06,413.43
2003-07,413.42
2003-08,413.42
2003-09,413.38
2003-10,413.35
2003-11,413.34
2003-12,413.33
2004-01,413.3
2004-02,413.28
2004-03,413.26
2004-04,413.27
2004-05,413.31
2004-06,413.32
2004-07,413.33
2004-08,413.3
2004-09,413.28
2004-10,413.34
2004-11,413.35
2004-12,413.36
2005-01,413.33
2005-02,413.32
2005-03,413.29
2005-04,413.32
2005-05,413.4
2005-06,413.5
2005-07,413.5
2005-08,413.47
2005-09,413.36
2005-10,413.36
2005-11,413.36
2005-12,413.36
2006-01,413.35
2006-02,413.31
2006-03,413.29
2006-04,413.32
2006-05,413.39
2006-06,413.42
2006-07,413.37
2006-08,413.31
2006-09,413.25
2006-10,413.23
2006-11,413.23
2006-12,413.22
2007-01,413.2
2007-02,413.15
2007-03,413.13
2007-04,413.16
2007-05,413.2
2007-06,413.24
2007-07,413.23
2007-08,413.13
2007-09,413.09
2007-10,413.11
2007-11,413.15
2007-12,413.15
2008-01,413.13
2008-02,413.11
2008-03,413.08
2008-04,413.07
2008-05,413.21
2008-06,413.26
2008-07,413.28
2008-08,413.26
2008-09,413.21
2008-10,413.19
2008-11,413.19
2008-12,413.18
2009-01,413.16
2009-02,413.13
2009-03,413.12
2009-04,413.18
2009-05,413.28
2009-06,413.32
2009-07,413.3
2009-08,413.26
2009-09,413.24
2009-10,413.2
2009-11,413.2
2009-12,413.21
2010-01,413.19
2010-02,413.16
2010-03,413.13
2010-04,413.14
2010-05,413.15
2010-06,413.16
2010-07,413.15
2010-08,413.16
2010-09,413.19
2010-10,413.2
2010-11,413.23
2010-12,413.23
2011-01,413.21
2011-02,413.19
2011-03,413.17
2011-04,413.16
2011-05,413.3
2011-06,413.33
2011-07,413.39
2011-08,413.41
2011-09,413.41
2011-10,413.39
2011-11,413.38
2011-12,413.35
2012-01,413.34
2012-02,413.29
2012-03,413.26
2012-04,413.28
2012-05,413.38
2012-06,413.43
2012-07,413.41
2012-08,413.39
2012-09,413.35
2012-10,413.3
2012-11,413.28
2012-12,413.27
2013-01,413.25
2013-02,413.22
2013-03,413.2
2013-04,413.19
2013-05,413.28
2013-06,413.34
2013-07,413.34
2013-08,413.34
2013-09,413.29
2013-10,413.25
2013-11,413.25
2013-12,413.24
2014-01,413.2
2014-02,413.18
2014-03,413.16
2014-04,413.15
2014-05,413.25
2014-06,413.41
2014-07,413.43
2014-08,413.43
2014-09,413.41
2014-10,413.41
2014-11,413.4
2014-12,413.36
2015-01,413.34
2015-02,413.32
2015-03,413.28
2015-04,413.28
2015-05,413.27
2015-06,413.4
2015-07,413.37
2015-08,413.3
2015-09,413.26
2015-10,413.26
2015-11,413.26
2015-12,413.3
2016-01,413.3
2016-02,413.28
2016-03,413.26
2016-04,413.35
2016-05,413.41
2016-06,413.4
2016-07,413.39
2016-08,413.4
2016-09,413.38
2016-10,413.4
2016-11,413.38
2016-12,413.41
2017-01,413.34
2017-02,413.31
2017-03,413.32
2017-04,413.38
2017-05,413.45
2017-06,413.46
2017-07,413.44
2017-08,413.41
2017-09,413.36
2017-10,413.36
2017-11,413.36
2017-12,413.35
2018-01,413.31
2018-02,413.28
2018-03,413.26
2018-04,413.24
2018-05,413.29
2018-06,413.36
2018-07,413.35
2018-08,413.35
2018-09,413.29
2018-10,413.28
2018-11,413.28
2018-12,413.26
2019-01,413.24
2019-02,413.22
2019-03,413.19
2019-04,413.28
2019-05,413.41
2019-06,412.58
2019-07,413.4
2019-08,413.35
2019-09,412.51
2019-10,413.36
2019-11,413.19
2019-12,413.37
2020-01,411.12
2020-03,411.08
2020-04,411.14
2020-05,411.22
2020-06,411.21
2020-07,411.17
2020-08,411.2
2020-09,411.21
2020-10,411.18
2020-11,411.19
2020-12,411.16
2021-01,411.1
